Age,year,sex,people
25,2002,M,58143663
30,2002,M,66274091
35,2002,M,58838491
40,2002,M,46133945
45,2002,M,44863699
50,2002,M,36749280
55,2002,M,25461328
60,2002,M,21656926
65,2002,M,18310284
70,2002,M,12882919
75,2002,M,7405735
80,2002,M,3729990
85,2002,M,1449193
90,2002,M,308752
95,2002,M,41182
100,2002,M,2017
0,2003,M,47024075
5,2003,M,46894481
10,2003,M,59857650
15,2003,M,63761127
20,2003,M,49361332
25,2003,M,55127284
30,2003,M,65855152
35,2003,M,61432503
40,2003,M,48323059
45,2003,M,43842620
50,2003,M,39971389
55,2003,M,26600426
60,2003,M,21771431
65,2003,M,18684610
70,2003,M,13368670
75,2003,M,7695301
80,2003,M,3761311
85,2003,M,1530336
90,2003,M,341182
95,2003,M,49517
100,2003,M,2223
0,2004,M,45317964
5,2004,M,47013929
10,2004,M,55634496
15,2004,M,66766299
20,2004,M,50520697
25,2004,M,52479011
30,2004,M,64770386
35,2004,M,63560712
40,2004,M,50765865
45,2004,M,43135089
50,2004,M,42567347
55,2004,M,28165727
60,2004,M,22060890
65,2004,M,19027076
70,2004,M,13866501
75,2004,M,7993652
80,2004,M,3797809
85,2004,M,1552416
90,2004,M,350424
95,2004,M,50121
100,2004,M,2445
0,2005,M,44543000
5,2005,M,46839404
10,2005,M,52376718
15,2005,M,67692585
20,2005,M,52514052
25,2005,M,50550037
30,2005,M,63015648
35,2005,M,64954638
40,2005,M,53199554
45,2005,M,43240775
50,2005,M,44074906
55,2005,M,30194099
60,2005,M,22589089
65,2005,M,19307104
70,2005,M,14347328
75,2005,M,8315499
80,2005,M,3853488
85,2005,M,1509372
90,2005,M,327890
95,2005,M,38032
100,2005,M,2682
0,2006,M,44024914
5,2006,M,46320372
10,2006,M,50104136
15,2006,M,66758255
20,2006,M,55442623
25,2006,M,49378936
30,2006,M,60744354
35,2006,M,65752471
40,2006,M,55747386
45,2006,M,44076192
50,2006,M,44572429
55,2006,M,32607278
60,2006,M,23195812
65,2006,M,19338325
70,2006,M,14621025
75,2006,M,8697637
80,2006,M,4085490
85,2006,M,1608572
90,2006,M,402022
95,2006,M,47679
100,2006,M,2941
0,2007,M,44045189
5,2007,M,45780804
10,2007,M,48687706
15,2007,M,63727201
20,2007,M,59392096
25,2007,M,48832563
30,2007,M,57848795
35,2007,M,65887232
40,2007,M,58372028
45,2007,M,45612728
50,2007,M,44017818
55,2007,M,35583816
