Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,930320,"Firearms; sporting, hunting or target-shooting shotguns, including combination shotgun-rifles",5,Number of items,124471,,,,62903,,12666357,,,4
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,930330,"Firearms; sporting, hunting or target-shooting rifles n.e.c. in heading no. 9303",5,Number of items,5762,,,,6235,,1193884,,,4
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,930390,Firearms; n.e.c. in heading no. 9303,5,Number of items,28000,,,,28526,,1157334,,,4
H5,2018,2018,2018,4,0,2,Export,156,China,CHN,842,USA,USA,,,,,,,,9304,"Firearms; (e.g. spring, air or gas guns and pistols, truncheons), excluding those of heading no. 9307",5,Number of items,5250298,,,,1292725,,50964933,,,4
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,930400,"Firearms; (e.g. spring, air or gas guns and pistols, truncheons), excluding those of heading no. 9307",5,Number of items,5250298,,,,1292725,,50964933,,,4
H5,2018,2018,2018,4,0,2,Export,156,China,CHN,842,USA,USA,,,,,,,,9305,Firearms; parts and accessories of articles of heading no. 9301 to 9304,8,Weight in kilograms,2604516,,,,2604516,,20424107,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,930520,"Firearms; parts and accessories, of shotguns or rifles of heading 9303",8,Weight in kilograms,2025263,,,,2025263,,11617593,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,930599,"Firearms; parts and accessories, of firearms other than the military weapons of heading 9301",8,Weight in kilograms,579253,,,,579253,,8806514,,,0
H5,2018,2018,2018,4,0,2,Export,156,China,CHN,842,USA,USA,,,,,,,,9306,"Bombs, grenades, torpedoes, mines, missiles and similar munitions of war and parts thereof; cartridges and other ammunition, projectiles and parts thereof, including shot and cartridge wads",8,Weight in kilograms,2101804,,,,2101804,,5031875,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,930629,Ammunition; parts of shotgun cartridges,8,Weight in kilograms,2101804,,,,2101804,,5031875,,,0
H5,2018,2018,2018,4,0,2,Export,156,China,CHN,842,USA,USA,,,,,,,,9307,"Arms; swords, cutlasses, bayonets, lances and the like, parts thereof and scabbards and sheaths therefor",8,Weight in kilograms,541902,,,,541902,,4940459,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,930700,"Arms; swords, cutlasses, bayonets, lances and the like, parts thereof and scabbards and sheaths therefor",8,Weight in kilograms,541902,,,,541902,,4940459,,,0
H5,2018,2018,2018,2,0,2,Export,156,China,CHN,842,USA,USA,,,,,,,,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",1,No Quantity,0,,,,0,,33382758591,,,0
H5,2018,2018,2018,4,0,2,Export,156,China,CHN,842,USA,USA,,,,,,,,9401,"Seats (not those of heading no. 9402), whether or not convertible into beds and parts thereof",1,No Quantity,0,,,,0,,9654674742,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,940110,Seats; of a kind used for aircraft,5,Number of items,6451,,,,262055,,39085392,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,940120,Seats; of a kind used for motor vehicles,5,Number of items,818584,,,,10042702,,45605266,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,940130,"Seats; swivel with variable height adjustment, excluding medical, surgical, dental, veterinary or barber furniture",5,Number of items,18463803,,,,248657889,,786449731,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,940140,"Seats; convertible into beds, other than garden seats or camping equipment",5,Number of items,1486475,,,,48252234,,173466677,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,940152,Seats; of bamboo,5,Number of items,234309,,,,1172109,,4130011,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,940153,Seats; of rattan,5,Number of items,21488,,,,112758,,668157,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,940159,"Seats; of cane, osier or similar materials, other than bamboo or rattan",5,Number of items,3435,,,,14995,,48955,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,940161,"Seats; with wooden frames, upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)",5,Number of items,35689114,,,,992534208,,4193244849,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,940169,"Seats; with wooden frames, not upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)",5,Number of items,7689123,,,,49304014,,196405939,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,940171,"Seats; with metal frames, upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)",5,Number of items,46582016,,,,379007384,,1513344515,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,940179,"Seats; with metal frames, not upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)",5,Number of items,102682857,,,,441354234,,1346717746,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,940180,"Seats; n.e.c. in heading no. 9401, (excluding medical, surgical, dental, veterinary or barber furniture)",5,Number of items,22656382,,,,87628526,,452347794,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,940190,Seat; parts,8,Weight in kilograms,234623309,,,,234623309,,903158725,,,0
H5,2018,2018,2018,4,0,2,Export,156,China,CHN,842,USA,USA,,,,,,,,9402,"Furniture; medical, surgical, dental or veterinary (e.g. operating tables, hospital beds, dentists' chairs) barbers' chairs; parts",1,No Quantity,0,,,,0,,211845400,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,940210,"Chairs; dentists', barbers' or similar chairs having rotating as well as both reclining and elevating movements, and parts thereof",8,Weight in kilograms,10867286,,,,10867286,,49779894,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,940290,"Furniture; for medical, surgical, veterinary use (e.g. operating tables, examination tables, hospital beds with mechanical fittings) and parts thereof",8,Weight in kilograms,37193053,,,,37193053,,162065388,,,0
H5,2018,2018,2018,4,0,2,Export,156,China,CHN,842,USA,USA,,,,,,,,9403,"Furniture and parts thereof, n.e.c. in chapter 94",1,No Quantity,0,,,,0,,11068474824,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,940310,"Furniture; metal, for office use",8,Weight in kilograms,76705015,,,,76705015,,197021911,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,940320,"Furniture; metal, other than for office use",8,Weight in kilograms,1248612236,,,,1248612236,,3055709994,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,940330,"Furniture; wooden, for office use",5,Number of items,8518713,,,,228786280,,488128658,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,940340,"Furniture; wooden, for kitchen use",5,Number of items,27890011,,,,516067065,,1445222466,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,940350,"Furniture; wooden, for bedroom use",5,Number of items,11147713,,,,242712874,,825609749,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,940360,"Furniture; wooden, other than for office, kitchen or bedroom use",5,Number of items,63604546,,,,1020170564,,2955036495,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,940370,Furniture; plastic,8,Weight in kilograms,166660602,,,,166660602,,359430409,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,940382,Furniture; of bamboo,8,Weight in kilograms,10728817,,,,10728817,,36192977,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,940383,Furniture; of rattan,8,Weight in kilograms,51579,,,,51579,,319843,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,940389,"Furniture; of cane, osier, or similar materials (other than bamboo or rattan)",8,Weight in kilograms,111470514,,,,111470514,,334028384,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,940390,Furniture; parts,8,Weight in kilograms,553791058,,,,553791058,,1371765950,,,0
